source,target
AAE,ALG
AAE,IST
AAE,LYS
AAE,MRS
AAE,ORN
AAE,ORY
AAL,AMS
AAL,AAR
AAL,OSL
AAL,EBJ
AAL,SVG
AAL,AGP
AAL,ALC
AAL,CPH
AAL,LGW
AAL,LPA
AAL,ARN
AAL,BLL
AAN,CCJ
AAN,PEW
AAN,AUH
AAN,AMM
AAN,CMB
AAQ,DME
AAQ,SVO
AAR,AAL
AAR,BMA
AAR,GOT
AAR,OSL
AAR,GRO
AAR,LPA
AAR,PMI
AAR,STN
AAR,CPH
AAT,URC
AAX,PLU
AAX,POJ
AAY,SAH
ABA,DME
ABA,SVO
ABB,ABV
ABB,LOS
ABD,MHD
ABD,THR
ABD,SYZ
ABD,IFN
ABE,DTW
ABE,PIE
ABE,SFB
ABE,ORD
ABE,CLT
ABE,PHL
ABI,DFW
ABJ,BOY
ABJ,OUA
ABJ,BRU
ABJ,CDG
ABJ,CMN
ABJ,COO
ABJ,DKR
ABJ,ACC
ABJ,CKY
ABJ,LFW
ABJ,LOS
ABJ,BKO
ABJ,DLA
ABJ,LBV
ABJ,NBO
ABJ,ORY
ABJ,IST
ABJ,TUN
ABK,JIJ
ABL,OTZ
ABL,SHG
ABM,CNS
ABQ,DFW
ABQ,LAX
ABQ,ORD
ABQ,JFK
ABQ,MSP
ABQ,SLC
ABQ,DEN
ABQ,HOU
ABQ,LAS
ABQ,MCI
ABQ,MCO
ABQ,MDW
ABQ,PIT
ABQ,CNM
ABQ,LAM
ABQ,IAD
ABQ,IAH
ABQ,SFO
ABQ,PHX
ABQ,BWI
ABQ,DAL
ABQ,OAK
ABQ,PDX
ABQ,SAN
ABQ,SEA
ABR,MSP
ABS,ASW
ABT,DMM
ABT,JED
ABT,RUH
ABV,CDG
ABV,PHC
ABV,LHR
ABV,ADD
ABV,COO
ABV,LFW
ABV,NDJ
ABV,NIM
ABV,FRA
ABV,SSG
ABV,CAI
ABV,ABB
ABV,ACC
ABV,BNI
ABV,CBQ
ABV,ENU
ABV,GMO
ABV,IBA
ABV,ILR
ABV,KAN
ABV,LOS
ABV,MIU
ABV,QOW
ABV,QRW
ABV,SKO
ABV,YOL
ABX,SYD
ABX,MEL
ABX,WGA
ABZ,LHR
ABZ,CDG
ABZ,LCY
ABZ,BHD
ABZ,BHX
ABZ,KOI
ABZ,LSI
ABZ,MAN
ABZ,BRS
ABZ,EBJ
ABZ,KSU
ABZ,NWI
ABZ,OSL
ABZ,DUB
ABZ,AMS
ABZ,FRA
ABZ,BGO
ABZ,CPH
ABZ,SVG
ABZ,EMA
ABZ,HUY
ABZ,LBA
ABZ,MME
ABZ,NCL
ABZ,SOU
ABZ,SYY
ABZ,WIC
ABZ,TFS
ABZ,LGW
ABZ,LTN
ACA,MEX
ACA,TLC
ACA,IAH
ACA,MTY
ACA,TIJ
ACC,OUA
ACC,ROB
ACC,KMS
ACC,LHR
ACC,TML
ACC,CMN
ACC,FCO
ACC,JFK
ACC,ABJ
ACC,FNA
ACC,LOS
ACC,DXB
ACC,ADD
ACC,LFW
ACC,MLW
ACC,COO
ACC,MAD
ACC,AMS
ACC,DKR
ACC,NBO
ACC,FRA
ACC,BEY
ACC,CAI
ACC,TKD
ACC,JNB
ACC,WDH
ACC,IST
ACC,LIS
ACC,ABV
ACE,CGN
ACE,DUS
ACE,FUE
ACE,HAJ
ACE,HAM
ACE,LEJ
ACE,NUE
ACE,PAD
ACE,TXL
ACE,ZRH
ACE,LGW
ACE,BHX
ACE,FRA
ACE,GLA
ACE,MAN
ACE,MUC
ACE,STR
ACE,SXF
ACE,OSL
ACE,DUB
ACE,ORK
ACE,SNN
ACE,BCN
ACE,BGY
ACE,BLQ
ACE,BOH
ACE,BRS
ACE,CRL
ACE,EDI
ACE,EIN
ACE,EMA
ACE,HHN
ACE,LBA
ACE,LPL
ACE,LTN
ACE,MAD
ACE,NOC
ACE,NRN
ACE,PIK
ACE,SCQ
ACE,SDR
ACE,STN
ACE,SVQ
ACE,VLL
ACE,AMS
ACE,LPA
ACE,BIO
ACE,BFS
ACE,BLK
ACE,NCL
ACE,TFN
ACE,CWL
ACE,HEL
ACH,VIE
ACI,GCI
ACI,SOU
ACK,BOS
ACK,EWB
ACK,HYA
ACK,MVY
ACP,THR
ACR,LCR
ACR,SVI
ACT,DFW
ACU,PAC
ACV,CEC
ACV,SFO
ACV,SMF
ACX,CAN
ACX,CKG
ACX,KMG
ACX,KWE
ACX,NNG
ACX,NAY
ACX,PVG
ACY,FLL
ACY,MCO
ACY,MYR
ACY,PBI
ACY,RSW
ACY,TPA
ACZ,MHD
ADA,HAJ
ADA,STR
ADA,IST
ADA,ECN
ADA,ADB
ADA,AYT
ADA,ESB
ADA,SAW
ADA,TZX
ADA,VAN
ADA,SXF
ADA,JED
ADB,CGN
ADB,IST
ADB,ECN
ADB,MUC
ADB,ADA
ADB,ASR
ADB,ATH
ADB,AYT
ADB,DIY
ADB,DUS
ADB,ESB
ADB,EZS
ADB,GNY
ADB,GZT
ADB,HTY
ADB,MQM
ADB,SAW
ADB,STN
ADB,STR
ADB,TZX
ADB,VAS
ADB,LGW
ADB,AMS
ADB,BRE
ADB,BSL
ADB,DTM
ADB,FRA
ADB,HAJ
ADB,HAM
ADB,TXL
ADB,VIE
ADB,ZRH
ADD,KRT
ADD,NBO
ADD,BOM
ADD,DEL
ADD,CAN
ADD,PEK
ADD,DXB
ADD,ABV
ADD,ACC
ADD,AMH
ADD,ASO
ADD,AXU
ADD,BEY
ADD,BJR
ADD,BKK
ADD,BKO
ADD,CAI
ADD,CDG
ADD,COO
ADD,DAR
ADD,DIR
ADD,DLA
ADD,DMM
ADD,EBB
ADD,ENU
ADD,FCO
ADD,FIH
ADD,FRA
ADD,GDQ
ADD,GMB
ADD,HKG
ADD,HRE
ADD,JED
ADD,JIB
ADD,JIJ
ADD,JIM
ADD,JNB
ADD,JRO
ADD,JUB
ADD,KWI
ADD,LAD
ADD,LBV
ADD,LFW
ADD,LHR
ADD,LLW
ADD,LOS
ADD,LUN
ADD,MCT
ADD,MPM
ADD,MQX
ADD,NDJ
ADD,NLA
ADD,OUA
ADD,PNR
ADD,RUH
ADD,SEZ
ADD,SSG
ADD,TLV
ADD,BAH
ADD,SAH
ADD,ICN
ADD,DOH
ADD,IST
ADD,KGL
